,event_id,station,components,time,duration,amplitude,energy,signal_type
149,20180101T100808Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T10:08:08.583392Z,24.44,755.047226638,1069011.99801,amplitude
150,20180101T101250Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T10:12:50.343392Z,3.76,435.353792701,126859.803017,amplitude
151,20180101T101511Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T10:15:11.783392Z,69.92,703.827374964,4592850.94273,amplitude
152,20180101T101737Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T10:17:37.783392Z,52.0,710.301265056,3725411.66468,amplitude
153,20180101T102001Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T10:20:01.023392Z,36.24,757.616483225,3658675.58291,amplitude
154,20180101T102636Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T10:26:36.863392Z,35.8,609.967281176,1453522.80463,amplitude
155,20180101T103146Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T10:31:46.963392Z,7.68,462.881035679,181943.875526,amplitude
156,20180101T103441Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T10:34:41.503392Z,14.42,646.390962913,1007826.45157,amplitude
157,20180101T103626Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T10:36:26.163392Z,6.3,1528.1528423,1265670.04019,amplitude
158,20180101T103925Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T10:39:25.203392Z,269.74,1021.30752883,21305646.085,amplitude
159,20180101T104520Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T10:45:20.843392Z,3.14,586.811766397,171375.756485,amplitude
160,20180101T104925Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T10:49:25.283392Z,19.9,970.45413257,2717286.97075,amplitude
161,20180101T105321Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T10:53:21.263392Z,45.78,745.079684621,3908004.5703,amplitude
