,event_id,stations,network_time,ref_time,ref_duration,ref_amplitude,ref_energy,signal_type
152,20180101T101737Z,['DK.ILULI.'],0.0,2018-01-01T10:17:37.783392Z,52.0,1447.89956996,33580688.5733,amplitude
153,20180101T102001Z,['DK.ILULI.'],0.0,2018-01-01T10:20:01.023392Z,36.24,1520.06118998,28159627.4879,amplitude
154,20180101T102636Z,['DK.ILULI.'],0.0,2018-01-01T10:26:36.863392Z,35.8,1379.35644708,21775281.7254,amplitude
155,20180101T103146Z,['DK.ILULI.'],0.0,2018-01-01T10:31:46.963392Z,7.68,937.575139349,3491688.80717,amplitude
156,20180101T103441Z,['DK.ILULI.'],0.0,2018-01-01T10:34:41.503392Z,14.42,1663.5670474,12991158.2419,amplitude
157,20180101T103626Z,['DK.ILULI.'],0.0,2018-01-01T10:36:26.163392Z,6.3,2362.87949611,6017217.11696,amplitude
158,20180101T103925Z,['DK.ILULI.'],0.0,2018-01-01T10:39:25.203392Z,269.74,1649.0944817,135107526.321,amplitude
159,20180101T104520Z,['DK.ILULI.'],0.0,2018-01-01T10:45:20.843392Z,3.14,1406.32204189,1176507.1738,amplitude
160,20180101T104925Z,['DK.ILULI.'],0.0,2018-01-01T10:49:25.283392Z,19.9,1401.70037262,12666000.8027,amplitude
161,20180101T105321Z,['DK.ILULI.'],0.0,2018-01-01T10:53:21.263392Z,45.78,1404.34238291,30155551.5578,amplitude
162,20180101T105819Z,['DK.ILULI.'],0.0,2018-01-01T10:58:19.263392Z,11.96,1358.52571058,9309518.70631,amplitude
163,20180101T110018Z,['DK.ILULI.'],0.0,2018-01-01T11:00:18.443392Z,8.02,1568.22262964,6360601.48254,amplitude
164,20180101T110201Z,['DK.ILULI.'],0.0,2018-01-01T11:02:01.863392Z,103.4,1770.82698964,68145021.8383,amplitude
165,20180101T110944Z,['DK.ILULI.'],0.0,2018-01-01T11:09:44.483392Z,14.72,1340.27136587,9805928.15436,amplitude
166,20180101T111203Z,['DK.ILULI.'],0.0,2018-01-01T11:12:03.943392Z,14.66,1232.44986526,8517675.31896,amplitude
167,20180101T111611Z,['DK.ILULI.'],0.0,2018-01-01T11:16:11.723392Z,76.68,1476.73320016,45628949.1796,amplitude
168,20180101T112420Z,['DK.ILULI.'],0.0,2018-01-01T11:24:20.023392Z,16.58,1404.95841518,14318051.1169,amplitude
169,20180101T112638Z,['DK.ILULI.'],0.0,2018-01-01T11:26:38.463392Z,59.92,1409.90914734,28750965.0633,amplitude
170,20180101T112855Z,['DK.ILULI.'],0.0,2018-01-01T11:28:55.003392Z,45.34,1543.80013648,31786695.9868,amplitude
171,20180101T113440Z,['DK.ILULI.'],0.0,2018-01-01T11:34:40.443392Z,8.18,1394.28764532,7227442.38932,amplitude
172,20180101T113619Z,['DK.ILULI.'],0.0,2018-01-01T11:36:19.343392Z,3.22,1098.04337495,1263097.75938,amplitude
173,20180101T114009Z,['DK.ILULI.'],0.0,2018-01-01T11:40:09.103392Z,6.68,1223.91390467,3921067.69158,amplitude
174,20180101T114350Z,['DK.ILULI.'],0.0,2018-01-01T11:43:50.743392Z,35.04,1280.80827382,19515932.5696,amplitude
175,20180101T114621Z,['DK.ILULI.'],0.0,2018-01-01T11:46:21.803392Z,1.64,808.857392897,187564.031807,amplitude
176,20180101T114930Z,['DK.ILULI.'],0.0,2018-01-01T11:49:30.143392Z,5.34,1166.705827,3029909.57097,amplitude
177,20180101T115119Z,['DK.ILULI.'],0.0,2018-01-01T11:51:19.603392Z,33.9,1257.23811836,16074541.562,amplitude
178,20180101T115953Z,['DK.ILULI.'],0.0,2018-01-01T11:59:53.563392Z,19.72,1504.19129176,11819035.6308,amplitude
179,20180101T120118Z,['DK.ILULI.'],0.0,2018-01-01T12:01:18.743392Z,26.18,1259.77283643,16215307.9553,amplitude
180,20180101T120249Z,['DK.ILULI.'],0.0,2018-01-01T12:02:49.263392Z,223.42,1626.38231312,128118348.272,amplitude
181,20180101T121538Z,['DK.ILULI.'],0.0,2018-01-01T12:15:38.683392Z,19.08,1233.69223196,13904060.4867,amplitude
182,20180101T122139Z,['DK.ILULI.'],0.0,2018-01-01T12:21:39.143392Z,180.64,1380.72130885,83003590.8902,amplitude
183,20180101T123237Z,['DK.ILULI.'],0.0,2018-01-01T12:32:37.083392Z,11.24,1273.5789681,8521032.49137,amplitude
184,20180101T123811Z,['DK.ILULI.'],0.0,2018-01-01T12:38:11.423392Z,102.42,1338.96532073,57218734.0898,amplitude
185,20180101T124255Z,['DK.ILULI.'],0.0,2018-01-01T12:42:55.643392Z,6.4,1199.57646091,3816233.79863,amplitude
186,20180101T124500Z,['DK.ILULI.'],0.0,2018-01-01T12:45:00.003392Z,18.2,1274.6272733,13856388.3039,amplitude
187,20180101T125046Z,['DK.ILULI.'],0.0,2018-01-01T12:50:46.663392Z,3.94,1179.05571921,1342122.4196,amplitude
188,20180101T125443Z,['DK.ILULI.'],0.0,2018-01-01T12:54:43.203392Z,2.16,1422.97200922,789853.380917,amplitude
189,20180101T125550Z,['DK.ILULI.'],0.0,2018-01-01T12:55:50.363392Z,7.08,1397.74579796,5456598.17837,amplitude
190,20180101T125704Z,['DK.ILULI.'],0.0,2018-01-01T12:57:04.043392Z,51.8,1438.76415996,25847485.0806,amplitude
191,20180101T125900Z,['DK.ILULI.'],0.0,2018-01-01T12:59:00.043392Z,11.6,1381.03369943,10022667.6425,amplitude
192,20180101T130354Z,['DK.ILULI.'],0.0,2018-01-01T13:03:54.563392Z,7.56,1506.89522033,6427597.80559,amplitude
193,20180101T130611Z,['DK.ILULI.'],0.0,2018-01-01T13:06:11.723392Z,157.5,4395.09132425,117031922.673,amplitude
